hidden_size,n_layers,learning_rate,normalized_output,Objective,loss,moving_average,weighting_scheme
1024,9,0.0001,False,MSELoss,uniform,4.7536266833958507e-07,[5.46112528e-07]
1024,9,0.0001,False,L1Loss,dirichlet,0.00036872574128210545,[693.88991064]
1024,9,0.0001,False,L1Loss,uniform,0.00033686033566482365,[0.00043308]
1024,9,1e-05,True,MSELoss,dirichlet,6.076717454561731e-06,[0.0001115]
1024,9,1e-05,True,MSELoss,uniform,1.9091853573627304e-06,[2.38362575e-06]
1024,9,1e-05,True,L1Loss,dirichlet,0.0005201022140681744,[0.0006539]
1024,9,1e-05,True,L1Loss,uniform,0.0009065272170118988,[710542.73679652]
1024,9,1e-05,False,MSELoss,dirichlet,5.114612235956884e-07,[6.97694976e-07]
1024,9,1e-05,False,MSELoss,uniform,4.5495062295231037e-07,[5.11566417e-07]
1024,9,1e-05,False,L1Loss,dirichlet,0.00030885430169291794,[0.00037717]
1024,9,1e-05,False,L1Loss,uniform,0.00033235110458917916,[0.00174367]
1024,6,0.001,True,MSELoss,dirichlet,[1.e+20],[1.e+20]
1024,6,0.001,True,MSELoss,uniform,[1.e+20],[1.e+20]
1024,6,0.001,True,L1Loss,dirichlet,237427277824.0,[5.00000001e+19]
1024,6,0.001,True,L1Loss,uniform,0.04590485990047455,[6.53991314e+19]
1024,6,0.001,False,MSELoss,dirichlet,8274.2158203125,[5.e+19]
1024,6,0.001,False,MSELoss,uniform,0.0501563660800457,[5.e+19]
1024,6,0.001,False,L1Loss,dirichlet,0.1340986043214798,[5.e+19]
1024,6,0.001,False,L1Loss,uniform,0.12685170769691467,[5.e+19]
1024,6,0.0001,True,MSELoss,dirichlet,0.0023998022079467773,[3.90625e+17]
1024,6,0.0001,True,MSELoss,uniform,0.001600314979441464,[1.49011612e+12]
1024,6,0.0001,True,L1Loss,dirichlet,0.012751842848956585,[1.25e+19]
1024,6,0.0001,True,L1Loss,uniform,0.005468342453241348,[7.8125e+17]
1024,6,0.0001,False,MSELoss,dirichlet,0.0029821177013218403,[2.5e+19]
1024,6,0.0001,False,MSELoss,uniform,0.012330312281847,[2.5e+19]
1024,6,0.0001,False,L1Loss,dirichlet,0.00029086635913699865,[0.00040087]
1024,6,0.0001,False,L1Loss,uniform,0.020924976095557213,[2.5e+19]
1024,6,1e-05,True,MSELoss,dirichlet,0.00038267485797405243,[6.74948527e+16]
1024,6,1e-05,True,MSELoss,uniform,0.00020191525982227176,[0.00029381]
1024,6,1e-05,True,L1Loss,dirichlet,0.00074672611663118,[0.00183616]
1024,6,1e-05,True,L1Loss,uniform,0.0006786584272049367,[0.00075475]
1024,6,1e-05,False,MSELoss,dirichlet,9.187738214677665e-07,[1.84428633e-06]
1024,6,1e-05,False,MSELoss,uniform,8.736655559005158e-07,[1.09492843e-06]
1024,6,1e-05,False,L1Loss,dirichlet,0.00035442091757431626,[0.00041964]
1024,6,1e-05,False,L1Loss,uniform,0.0003440605360083282,[0.00039559]
1024,3,0.001,True,MSELoss,dirichlet,[1.e+20],[1.e+20]
1024,3,0.001,True,MSELoss,uniform,[1.e+20],[1.e+20]
1024,3,0.001,True,L1Loss,dirichlet,0.10659978538751602,[inf]
1024,3,0.001,True,L1Loss,uniform,[1.e+20],[1.e+20]
1024,3,0.001,False,MSELoss,dirichlet,[1.e+20],[1.e+20]
1024,3,0.001,False,MSELoss,uniform,[1.e+20],[1.e+20]
1024,3,0.001,False,L1Loss,dirichlet,0.06823647767305374,[inf]
1024,3,0.001,False,L1Loss,uniform,[1.e+20],[1.e+20]
1024,3,0.0001,True,MSELoss,dirichlet,0.0027631702832877636,[inf]
1024,3,0.0001,True,MSELoss,uniform,[1.e+20],[1.e+20]
1024,3,0.0001,True,L1Loss,dirichlet,0.013402270153164864,[1.90734863e+14]
1024,3,0.0001,True,L1Loss,uniform,0.009042192250490189,[4.88281264e+16]
1024,3,0.0001,False,MSELoss,dirichlet,[1.e+20],[1.e+20]
1024,3,0.0001,False,MSELoss,uniform,[1.e+20],[1.e+20]
1024,3,0.0001,False,L1Loss,dirichlet,0.014509400352835655,[inf]
1024,3,0.0001,False,L1Loss,uniform,[1.e+20],[1.e+20]
1024,3,1e-05,True,MSELoss,dirichlet,0.00036163246841169894,[0.0004428]
1024,3,1e-05,True,MSELoss,uniform,0.00023169875203166157,[0.00027137]
1024,3,1e-05,True,L1Loss,dirichlet,0.0013863964704796672,[0.17093965]
1024,3,1e-05,True,L1Loss,uniform,0.0016941071953624487,[507.88470396]
1024,3,1e-05,False,MSELoss,dirichlet,[1.e+20],[1.e+20]
1024,3,1e-05,False,MSELoss,uniform,[1.e+20],[1.e+20]
1024,3,1e-05,False,L1Loss,dirichlet,[1.e+20],[1.e+20]
1024,3,1e-05,False,L1Loss,uniform,[1.e+20],[1.e+20]
512,15,0.001,True,MSELoss,dirichlet,2.4803646738291718e-05,[1.22070312e+16]
512,15,0.001,True,MSELoss,uniform,0.008244208060204983,[5.e+19]
512,15,0.001,True,L1Loss,dirichlet,0.04446180909872055,[5.e+19]
512,15,0.001,True,L1Loss,uniform,0.0007813337724655867,[0.00095628]
512,15,0.001,False,MSELoss,dirichlet,0.6411306858062744,[5.e+19]
512,15,0.001,False,MSELoss,uniform,0.35917457938194275,[5.e+19]
512,15,0.001,False,L1Loss,dirichlet,0.0008334951126016676,[0.0010189]
512,15,0.001,False,L1Loss,uniform,0.0019577061757445335,[0.00484133]
512,15,0.0001,True,MSELoss,dirichlet,2.8853476123913424e-06,[346.9446984]
512,15,0.0001,True,MSELoss,uniform,1.908945023387787e-06,[2.20715103e-06]
512,15,0.0001,True,L1Loss,dirichlet,0.0007754791877232492,[0.0431705]
512,15,0.0001,True,L1Loss,uniform,0.0007034998270682991,[10.84285803]
512,15,0.0001,False,MSELoss,dirichlet,1.8726937014434952e-06,[2.7354157e-06]
512,15,0.0001,False,MSELoss,uniform,1.8849066236725776e-06,[3.05368793e-06]
512,15,0.0001,False,L1Loss,dirichlet,0.0007291053771041334,[0.00092963]
512,15,0.0001,False,L1Loss,uniform,0.0006299075321294367,[0.00080191]
512,15,1e-05,True,MSELoss,dirichlet,3.4360009522060864e-06,[4.31306407e-06]
512,15,1e-05,True,MSELoss,uniform,2.6305879146093503e-06,[2.89858143e-06]
512,15,1e-05,True,L1Loss,dirichlet,0.0007204029243439436,[0.000743]
512,15,1e-05,True,L1Loss,uniform,0.0006563371862284839,[0.00069869]
512,15,1e-05,False,MSELoss,dirichlet,2.2089409412728855e-06,[2.41764195e-06]
512,15,1e-05,False,MSELoss,uniform,2.467169224473764e-06,[2.69881898e-06]
512,15,1e-05,False,L1Loss,dirichlet,0.0007605141727253795,[0.00087184]
512,15,1e-05,False,L1Loss,uniform,0.0007745038601569831,[0.00084412]
512,12,0.001,True,MSELoss,dirichlet,0.0070229219272732735,[5.e+19]
512,12,0.001,True,MSELoss,uniform,0.0011053808266296983,[3.125e+18]
512,12,0.001,True,L1Loss,dirichlet,0.04395327344536781,[5.e+19]
512,12,0.001,True,L1Loss,uniform,0.0471835732460022,[5.e+19]
512,12,0.001,False,MSELoss,dirichlet,2.0632255655073095e-06,[86.73617995]
512,12,0.001,False,MSELoss,uniform,0.17506270110607147,[5.e+19]
512,12,0.001,False,L1Loss,dirichlet,0.0008075279765762389,[0.00091983]
512,12,0.001,False,L1Loss,uniform,0.0005908574676141143,[0.00072125]
512,12,0.0001,True,MSELoss,dirichlet,3.739029853022657e-05,[0.0018609]
512,12,0.0001,True,MSELoss,uniform,2.55470104093547e-06,[4.43013507e-06]
512,12,0.0001,True,L1Loss,dirichlet,0.0007130162557587028,[0.00082572]
512,12,0.0001,True,L1Loss,uniform,0.0007050047279335558,[0.00087073]
512,12,0.0001,False,MSELoss,dirichlet,1.7861445940070553e-06,[7.33639106e-06]
512,12,0.0001,False,MSELoss,uniform,1.845809606493276e-06,[2.332743e-06]
